"title","a_score","m_score","score_gap","a_rank","m_rank","members","fixed_aired","fixed_published"
Air Gear,7.49,7.79,-0.3000002,1745,1281,80825,Apr 2006 - Sep 2006,Nov 2002 - May 2012
Binbou Shimai Monogatari,6.85,7.15,-0.3000002,4649,6376,1505,Jun 2006 - Sep 2006,Apr 2004 - Oct 2006
Yuukoku no Moriarty,8.16,8.46,-0.3000002,389,161,31969,Oct 2020 - Dec 2020,Aug 2016 - Dec 2023
Ichiban Ushiro no Daimaou,6.74,7.04,-0.3000002,5161,7974,10517,Apr 2010 - Jun 2010,Sep 2008 - Dec 2013
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,7.47,7.77,-0.3000002,1827,1357,23970,Apr 2020 - Jun 2020,Aug 2017 - Dec 2023
Aa! Megami-sama!,7.29,7.59,-0.3000002,2566,2232,17193,Feb 1993 - May 1994,Aug 1988 - Apr 2014
Akuyaku Reijou nanode Last Boss wo Kattemimashita,7.23,7.53,-0.3000002,2871,2611,14181,Oct 2022 - Dec 2022,Jun 2018 - Aug 2019
Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei,6.21,6.51,-0.3000002,7869,14767,7274,Oct 2021 - Dec 2021,Sep 2017 - Dec 2023
Azur Lane: Bisoku Zenshin!,7.02,7.32,-0.3000002,3915,4466,1751,Jan 2021 - Mar 2021,Apr 2018 - Dec 2023
Uzaki-chan wa Asobitai!,7.0,7.3,-0.3000002,4020,4640,40778,Jul 2020 - Sep 2020,Dec 2017 - Dec 2023
Lovely★Complex,8.03,8.33,-0.3000002,558,264,60861,Apr 2007 - Sep 2007,Aug 2001 - Aug 2007
Pygmalio,7.14,7.44,-0.3000002,3380,3299,1038,Nov 1990 - Sep 1991,Mar 1978 - Sep 1990
Saint Seiya: The Lost Canvas - Meiou Shinwa,7.97,8.27,-0.30000067,632,328,15023,Jun 2009 - Apr 2010,Sep 2006 - Apr 2011
Magi: Sinbad no Bouken,7.8,8.11,-0.30999947,925,555,33259,May 2014 - Jul 2015,May 2013 - Apr 2018
Blood Lad,7.26,7.57,-0.30999994,2730,2333,64123,Jul 2013 - Sep 2013,Sep 2009 - Sep 2016
Area no Kishi,7.17,7.48,-0.30999994,3197,2961,9159,Jan 2012 - Sep 2012,Apr 2006 - Mar 2017
Kami nomi zo Shiru Sekai,7.66,7.97,-0.30999994,1252,783,4062,Oct 2010 - Dec 2010,May 2009 - May 2010
Megami no Café Terrace,7.3,7.61,-0.30999994,2522,2092,13263,Apr 2023 - Jun 2023,Feb 2021 - Dec 2023
Tonikaku Kawaii,7.89,8.2,-0.30999994,760,406,79937,Oct 2020 - Dec 2020,Feb 2018 - Dec 2023
Darling in the FranXX,7.21,7.52,-0.30999994,3007,2701,38185,Jan 2018 - Jul 2018,Jan 2018 - Jan 2020
Comic Party,6.58,6.89,-0.30999994,5981,10022,2207,Apr 2001 - Jun 2001,Jan 2001 - Mar 2005
Tetsuwan Birdy,7.08,7.39,-0.30999994,3666,3709,3379,Jul 1996 - Feb 1997,Dec 2002 - Jul 2008
Maoyuu Maou Yuusha,7.24,7.55,-0.31000042,2831,2500,8264,Jan 2013 - Mar 2013,Jun 2011 - Nov 2016
Vinland Saga,8.74,9.05,-0.31000042,43,7,279101,Jul 2019 - Dec 2019,Apr 2005 - Dec 2023
Sasaki to Miyano,8.23,8.54,-0.31000042,308,117,31685,Jan 2022 - Mar 2022,Feb 2016 - Dec 2023
Kuusen Madoushi Kouhosei no Kyoukan,6.32,6.64,-0.3199997,7318,13317,1907,Jul 2015 - Sep 2015,Jul 2014 - Jul 2016
Kokoro Connect,7.75,8.07,-0.3199997,1016,610,10822,Jul 2012 - Sep 2012,Jan 2010 - Sep 2013
Shugo Chara!,7.4,7.72,-0.3199997,2114,1569,37549,Oct 2007 - Sep 2008,Dec 2005 - Aug 2010
Natsu e no Tobira,5.88,6.2,-0.3199997,9419,16773,1046,Mar 1981 - Mar 1981,Oct 1975 - Oct 1975
New Game!,7.57,7.89,-0.3199997,1466,988,21861,Jul 2016 - Sep 2016,Jan 2013 - Aug 2021
Nurse Angel Ririka SOS,7.28,7.6,-0.3199997,2658,2170,350,Jul 1995 - Mar 1996,Jan 1995 - Jun 1996
Kubo-san wa Mob wo Yurusanai,7.59,7.91,-0.3199997,1412,918,59919,Jan 2023 - Jun 2023,Oct 2019 - Mar 2023
Nande Koko ni Sensei ga!?,6.51,6.83,-0.3199997,6360,10936,36776,Apr 2019 - Jun 2019,Oct 2015 - Dec 2023
Hunter x Hunter,8.41,8.73,-0.3199997,169,42,256070,Oct 1999 - Mar 2001,Mar 1998 - Dec 2023
Granblue Fantasy,6.32,6.64,-0.3199997,7308,13306,2388,Nov 2013 - Dec 2023,May 2016 - Dec 2019
Asa made Jugyou Chu!,6.05,6.37,-0.3199997,8633,15947,13918,Jun 2012 - Jun 2012,Jun 2008 - Nov 2015
Narue no Sekai,6.52,6.84,-0.32000017,6261,10766,1883,Apr 2003 - Jun 2003,Apr 1999 - Dec 2012
Kud Wafter,6.97,7.29,-0.32000017,4118,4693,963,Nov 2020 - Nov 2020,Mar 2010 - Dec 2013
Otonari ni Ginga,7.12,7.44,-0.32000017,3454,3279,7897,Apr 2023 - Jun 2023,Apr 2020 - May 2023
Koutetsujou no Kabaneri,7.27,7.59,-0.32000017,2678,2252,3233,Apr 2016 - Jul 2016,May 2016 - Nov 2018
Sumomomo Momomo: Chijou Saikyou no Yome,6.85,7.17,-0.32000017,4634,6178,7869,Oct 2006 - Mar 2007,Jan 2004 - Feb 2009
Hana yori Dango,7.6,7.92,-0.32000017,1399,909,24857,Sep 1996 - Aug 1997,Oct 1992 - Apr 2008
Harmony,6.89,7.21,-0.32000017,4451,5688,1452,Nov 2015 - Nov 2015,Apr 2015 - Jul 2019
Akaneiro ni Somaru Saka,6.39,6.71,-0.32000017,6938,12512,3132,Oct 2008 - Dec 2008,Jun 2008 - Apr 2009
Loveless,6.75,7.07,-0.32000017,5115,7542,1050,Apr 2005 - Jun 2005,Jul 2008 - Apr 2009
Boku no Marie,6.24,6.56,-0.32000017,7701,14303,721,Mar 1996 - Aug 1996,Jul 1994 - Jul 1997
Capeta,7.82,8.14,-0.32000017,878,504,4314,Oct 2005 - Sep 2006,Feb 2003 - Mar 2013
Ueno-san wa Bukiyou,6.56,6.88,-0.32000017,6040,10194,5933,Jan 2019 - Mar 2019,Feb 2015 - Mar 2022
Seikai no Monshou,7.63,7.96,-0.32999992,1303,811,1841,Jan 1999 - Mar 1999,Apr 1996 - Jun 1996
Sora no Manimani,7.06,7.39,-0.32999992,3732,3727,1555,Jul 2009 - Sep 2009,Sep 2005 - Jul 2011
Kamikaze Kaitou Jeanne,7.46,7.79,-0.32999992,1858,1278,19521,Feb 1999 - Jan 2000,Dec 1997 - Jun 2000
Soredemo Sekai wa Utsukushii,7.6,7.93,-0.32999992,1392,871,23624,Apr 2014 - Jun 2014,Mar 2009 - May 2020
Maria-sama ga Miteru,7.29,7.62,-0.32999992,2593,2062,2531,Jan 2004 - Apr 2004,Oct 2003 - Dec 2007
Ryuuou no Oshigoto!,6.84,7.17,-0.32999992,4699,6111,1121,Jan 2018 - Mar 2018,Sep 2015 - Aug 2019
Sasuga no Sarutobi,7.08,7.41,-0.32999992,3660,3559,641,Oct 1982 - Mar 1984,Jul 1980 - Mar 1984
Baby Steps,7.8,8.13,-0.32999992,913,507,24710,Apr 2014 - Sep 2014,Oct 2007 - Nov 2017
Goblin Slayer,7.42,7.75,-0.32999992,2031,1439,82968,Oct 2018 - Dec 2018,May 2016 - Dec 2023
Saraiya Goyou,7.77,8.1,-0.3300004,990,574,8641,Apr 2010 - Jul 2010,Nov 2005 - Jul 2010
Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!,6.36,6.7,-0.33999968,7099,12654,11367,Oct 2019 - Dec 2019,May 2016 - Oct 2021
"Hachi-nan tte, Sore wa Nai deshou!",6.26,6.6,-0.33999968,7624,13857,11449,Apr 2020 - Jun 2020,Apr 2015 - Dec 2023
Touch,8.0,8.34,-0.34000015,585,254,12460,Mar 1985 - Mar 1987,Aug 1981 - Nov 1986
Ensemble Stars!,6.95,7.29,-0.34000015,4209,4778,1444,Jul 2019 - Dec 2019,Aug 2015 - Dec 2016
Mayonaka no Occult Koumuin,6.73,7.07,-0.34000015,5190,7564,1041,Apr 2019 - Jun 2019,May 2015 - Feb 2022
Chuunibyou demo Koi ga Shitai!,7.71,8.05,-0.34000015,1112,641,9150,Oct 2012 - Dec 2012,May 2011 - Dec 2017
Juuou Mujin no Fafnir,6.18,6.52,-0.34000015,8004,14727,3093,Jan 2015 - Mar 2015,Mar 2014 - Dec 2015
Hayate no Gotoku!,7.52,7.86,-0.34000015,1659,1066,31060,Apr 2007 - Mar 2008,Oct 2004 - Apr 2017
Kami-tachi ni Hirowareta Otoko,6.98,7.32,-0.34000015,4102,4464,13791,Oct 2020 - Dec 2020,Nov 2017 - Dec 2023
Sakura Tsuushin,6.14,6.48,-0.34000015,8215,15059,1990,May 1997 - Oct 1997,Apr 1995 - Jun 2000
Seitokai no Ichizon,7.31,7.65,-0.34000015,2513,1907,2318,Oct 2009 - Dec 2009,Jan 2008 - Jan 2012
Koori Zokusei Danshi to Cool na Douryou Joshi,7.33,7.67,-0.34000015,2374,1819,22226,Jan 2023 - Mar 2023,Jul 2019 - Dec 2023
Ouran Koukou Host Club,8.16,8.5,-0.34000015,392,139,123748,Apr 2006 - Sep 2006,Jul 2002 - Sep 2010
Kenja no Mago,6.62,6.96,-0.34000015,5772,9069,31309,Apr 2019 - Jun 2019,Mar 2016 - Dec 2023
Tensei shitara Slime Datta Ken,8.14,8.49,-0.34999943,416,147,36272,Oct 2018 - Mar 2019,May 2014 - Dec 2023
Natsume Yuujinchou,8.31,8.66,-0.34999943,239,61,42145,Jul 2008 - Sep 2008,Jun 2003 - Dec 2023
Witch Craft Works,7.0,7.35,-0.3499999,4022,4125,22208,Jan 2014 - Mar 2014,Mar 2010 - Feb 2022
Elfen Lied,7.48,7.83,-0.3499999,1795,1157,94706,Jul 2004 - Oct 2004,Jun 2002 - Aug 2005
Caramel Honey,6.78,7.13,-0.3499999,4953,6730,4794,Jun 2018 - Aug 2018,Nov 2015 - Feb 2016
Byousoku 5 Centimeter,7.58,7.93,-0.3499999,1440,868,30167,Mar 2007 - Mar 2007,May 2010 - Mar 2011
Bokusatsu Tenshi Dokuro-chan,6.54,6.89,-0.3499999,6139,10097,1499,Mar 2005 - Sep 2005,Jun 2003 - Oct 2007
"Ijiranaide, Nagatoro-san",7.3,7.65,-0.3499999,2563,1919,162421,Apr 2021 - Jun 2021,Nov 2017 - Dec 2023
Ao no Orchestra,7.14,7.49,-0.3499999,3330,2916,5711,Apr 2023 - Dec 2023,Apr 2017 - Dec 2023
Mayoi Neko Overrun!,6.65,7.0,-0.3499999,5624,8504,6378,Apr 2010 - Jun 2010,Jan 2010 - Nov 2010
Mushikago no Cagaster,6.45,6.8,-0.35000038,6652,11320,3374,Feb 2020 - Feb 2020,Sep 2005 - May 2016
Midara na Ao-chan wa Benkyou ga Dekinai,6.72,7.07,-0.35000038,5263,7443,10914,Apr 2019 - Jun 2019,Oct 2015 - Dec 2018
Fullmetal Alchemist,8.11,8.46,-0.35000038,451,160,16335,Oct 2003 - Oct 2004,Feb 2003 - Apr 2010
Sabikui Bisco,7.16,7.51,-0.35000038,3293,2713,2078,Jan 2022 - Mar 2022,Mar 2018 - Dec 2023
Fantasy Bishoujo Juniku Ojisan to,7.16,7.51,-0.35000038,3259,2720,9830,Jan 2022 - Mar 2022,Nov 2019 - Dec 2023
Mahoutsukai ni Taisetsu na Koto,6.7,7.05,-0.35000038,5341,7724,3091,Jan 2003 - Mar 2003,May 2002 - Jan 2003
Kino no Tabi: The Beautiful World,8.29,8.64,-0.35000038,257,67,17746,Apr 2003 - Jul 2003,Mar 2000 - Dec 2023
Nagasarete Airantou,7.22,7.57,-0.35000038,2969,2358,8691,Apr 2007 - Sep 2007,Dec 2001 - Dec 2023
Hentai Ouji to Warawanai Neko.,7.16,7.51,-0.35000038,3263,2747,4711,Apr 2013 - Jun 2013,Oct 2010 - Mar 2019
Flying Witch,7.51,7.87,-0.35999966,1704,1032,16825,Apr 2016 - Jun 2016,Aug 2012 - Dec 2023
Meitantei Conan: Hannin no Hanzawa-san,6.8,7.16,-0.35999966,4884,6231,1030,Oct 2022 - Dec 2022,May 2017 - Dec 2023
Fumikiri Jikan,6.36,6.72,-0.35999966,7111,12269,1340,Apr 2018 - Jun 2018,May 2016 - Sep 2021
"Maou-sama, Retry!",6.55,6.91,-0.35999966,6095,9730,7078,Jul 2019 - Sep 2019,Oct 2017 - Dec 2019
Oniichan dakedo Ai sae Areba Kankeinai yo ne!,6.44,6.8,-0.36000013,6720,11352,4236,Oct 2012 - Dec 2012,Sep 2011 - May 2015
"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen",6.65,7.01,-0.36000013,5619,8329,6572,Oct 2020 - Dec 2020,May 2018 - Mar 2021
Makai Senki Disgaea,6.71,7.07,-0.36000013,5323,7501,2700,Apr 2006 - Jun 2006,Feb 2003 - Oct 2003
Kyoukaisenjou no Horizon,7.02,7.38,-0.36000013,3932,3807,1510,Oct 2011 - Dec 2011,Aug 2011 - Mar 2015
"Natsu e no Tunnel, Sayonara no Deguchi",7.89,8.25,-0.36000013,756,348,3934,Sep 2022 - Sep 2022,Jul 2019 - Jul 2019
Densetsu no Yuusha no Densetsu,7.52,7.88,-0.36000013,1653,1004,4241,Jul 2010 - Dec 2010,Feb 2002 - Oct 2006
Peach Girl,6.94,7.3,-0.36000013,4234,4584,14272,Jan 2005 - Jun 2005,Sep 1997 - Dec 2003
Seireitsukai no Blade Dance,6.69,7.05,-0.36000013,5421,7865,7852,Jul 2014 - Sep 2014,Jun 2012 - Jan 2017
Chocotto Sister,6.75,7.11,-0.36000013,5098,6945,3568,Jul 2006 - Dec 2006,Dec 2003 - Apr 2007
Hime-chan no Ribbon,7.54,7.9,-0.36000013,1608,966,1600,Oct 1992 - Dec 1993,Jul 1990 - Dec 1993
"Sentouin, Hakenshimasu!",7.16,7.52,-0.36000013,3295,2699,3892,Apr 2021 - Jun 2021,Nov 2017 - Dec 2023
Dr. Rin ni Kiitemite!,6.74,7.1,-0.36000013,5152,7009,634,Mar 2001 - Feb 2002,Jul 1999 - May 2003
Najica Dengeki Sakusen,5.97,6.33,-0.36000013,9014,16166,697,Oct 2001 - Dec 2001,Sep 2001 - Feb 2003
Higurashi no Naku Koro ni Gou,7.2,7.56,-0.36000013,3041,2401,1886,Oct 2020 - Mar 2021,Oct 2020 - Sep 2021
High Score Girl,7.77,8.13,-0.36000013,983,516,17609,Jul 2018 - Sep 2018,Oct 2010 - Sep 2018
Mitsuami no Kamisama,6.75,7.11,-0.36000013,5117,6936,1695,Oct 2015 - Oct 2015,Aug 2011 - May 2013
Kamisama no Memochou,7.48,7.84,-0.36000013,1801,1116,4127,Jul 2011 - Sep 2011,Jan 2007 - Sep 2014
Ro-Kyu-Bu!,6.77,7.13,-0.36000013,5038,6662,942,Jul 2011 - Sep 2011,Feb 2009 - Jul 2015
Saikin Yatotta Maid ga Ayashii,6.58,6.94,-0.36000013,5962,9371,14754,Jul 2022 - Oct 2022,Jan 2020 - Dec 2023
Akame ga Kill!,7.47,7.83,-0.36000013,1803,1141,171503,Jul 2014 - Dec 2014,Apr 2010 - Dec 2016
Guin Saga,7.16,7.52,-0.36000013,3261,2687,1774,Apr 2009 - Sep 2009,Sep 1979 - Dec 2023
Nurarihyon no Mago,7.61,7.98,-0.3699999,1376,768,41556,Jul 2010 - Dec 2010,Mar 2008 - Dec 2012
Youjo Senki,7.96,8.33,-0.3699999,642,270,25185,Jan 2017 - Mar 2017,Apr 2016 - Dec 2023
Another,7.48,7.85,-0.3699999,1789,1077,12832,Jan 2012 - Mar 2012,Oct 2009 - Oct 2009
Kono Minikuku mo Utsukushii Sekai,6.71,7.08,-0.3699999,5319,7305,1039,Apr 2004 - Jun 2004,Dec 2003 - Apr 2005
Koi to Uso,6.5,6.87,-0.3699999,6430,10411,53408,Jul 2017 - Sep 2017,Aug 2014 - Jan 2022
Hitohira,6.76,7.13,-0.3699999,5082,6616,781,Mar 2007 - Jun 2007,Mar 2004 - May 2009
Cinderella Boy,6.28,6.65,-0.3699999,7546,13169,906,Jun 2003 - Sep 2003,May 1994 - May 1996
Tensei Oujo to Tensai Reijou no Mahou Kakumei,7.51,7.88,-0.3699999,1690,1003,2500,Jan 2023 - Mar 2023,Jan 2020 - Dec 2023
Kore wa Zombie desu ka?,7.35,7.72,-0.3699999,2300,1556,4460,Jan 2011 - Mar 2011,Jan 2009 - Jun 2015
Skip to Loafer,8.16,8.53,-0.3699999,394,119,26248,Apr 2023 - Jun 2023,Aug 2018 - Dec 2023
Eureka Seven AO,6.65,7.02,-0.3699999,5609,8205,1996,Apr 2012 - Nov 2012,Jan 2012 - Sep 2013
Knight's & Magic,7.08,7.45,-0.3699999,3647,3224,3298,Jul 2017 - Sep 2017,Jan 2013 - Dec 2023
Kill Me Baby,6.85,7.22,-0.3699999,4620,5519,5404,Jan 2012 - Mar 2012,Jul 2008 - Dec 2023
Tottemo! Luckyman,7.37,7.74,-0.3699999,2194,1498,608,Apr 1994 - Mar 1995,Aug 1993 - Jun 1997
Rozen Maiden,7.41,7.78,-0.37000036,2068,1326,17220,Oct 2004 - Dec 2004,Aug 2002 - May 2007
"Kumo desu ga, Nani ka?",7.45,7.82,-0.37000036,1873,1198,55742,Jan 2021 - Jul 2021,Dec 2015 - Dec 2023
Boku wa Tomodachi ga Sukunai,7.16,7.53,-0.37000036,3250,2598,11735,Oct 2011 - Dec 2011,Aug 2009 - Aug 2015
Tokyo Ravens,7.43,7.8,-0.37000036,1960,1232,5359,Oct 2013 - Mar 2014,May 2010 - Dec 2023
Rifle Is Beautiful,6.18,6.55,-0.37000036,8017,14328,740,Oct 2019 - Jan 2020,Apr 2015 - Jul 2020
Bokutachi wa Benkyou ga Dekinai,7.28,7.66,-0.37999964,2631,1843,80335,Apr 2019 - Jun 2019,Feb 2017 - Dec 2020
Getter Robo G,6.57,6.95,-0.37999964,6005,9178,2877,May 1975 - Mar 1976,Mar 1975 - Oct 1975
Beelzebub-jou no Okinimesu mama.,7.23,7.61,-0.3800001,2872,2100,4121,Oct 2018 - Dec 2018,Jul 2015 - May 2020
Hero Mask,6.29,6.67,-0.3800001,7489,13018,1186,Dec 2018 - Dec 2018,May 2012 - Oct 2014
Koutetsujou no Kabaneri,7.27,7.65,-0.3800001,2678,1916,920,Apr 2016 - Jul 2016,Jul 2016 - Aug 2016
Tenjou Tenge,6.88,7.26,-0.3800001,4504,5101,27995,Apr 2004 - Sep 2004,Oct 1997 - Aug 2010
Hanaukyou Maid-tai,6.58,6.96,-0.3800001,5989,9107,1458,Apr 2001 - Jun 2001,Mar 1999 - Aug 2006
Kaichou wa Maid-sama!,8.01,8.39,-0.3800001,575,213,158247,Apr 2010 - Sep 2010,Dec 2005 - Sep 2013
No Game No Life,8.08,8.46,-0.3800001,482,162,58120,Apr 2014 - Jun 2014,Apr 2012 - Dec 2023
Akuma no Riddle,6.6,6.98,-0.3800001,5846,8848,13517,Apr 2014 - Jun 2014,Aug 2012 - Oct 2016
Chihayafuru,8.18,8.56,-0.3800001,367,104,42682,Oct 2011 - Mar 2012,Dec 2007 - Aug 2022
Darwin's Game,7.23,7.61,-0.3800001,2880,2119,46992,Jan 2020 - Mar 2020,Dec 2012 - Dec 2023
Schwarzesmarken,6.74,7.12,-0.3800001,5180,6758,788,Jan 2016 - Mar 2016,Nov 2010 - Mar 2014
Keijo!!!!!!!!,6.93,7.31,-0.3800001,4285,4532,12689,Oct 2016 - Dec 2016,Jul 2013 - Apr 2017
Needless,7.22,7.6,-0.3800001,2970,2168,9039,Jul 2009 - Dec 2009,Oct 2003 - Jun 2013
"Dragon, Ie wo Kau.",6.41,6.79,-0.3800001,6852,11391,1807,Apr 2021 - Jun 2021,Dec 2016 - Dec 2023
Mahou Shoujo Site,6.52,6.9,-0.3800001,6256,9920,32492,Apr 2018 - Jun 2018,Jul 2013 - Aug 2019
Ao Ashi,8.22,8.6,-0.3800001,325,84,24833,Apr 2022 - Sep 2022,Jan 2015 - Dec 2023
Toshokan Sensou,7.44,7.82,-0.3800001,1948,1196,1799,Apr 2008 - Jun 2008,Feb 2006 - Nov 2007
Saint☆Oniisan,7.48,7.86,-0.3800001,1780,1072,26077,Dec 2012 - Aug 2013,Aug 2006 - Dec 2023
Hige wo Soru. Soshite Joshikousei wo Hirou.,7.28,7.67,-0.38999987,2639,1817,12467,Apr 2021 - Jun 2021,Feb 2018 - Jun 2021
Fushigi no Kuni no Miyuki-chan,5.65,6.04,-0.38999987,10331,17239,5781,Jun 1995 - Jun 1995,Mar 1993 - Jun 1995
Love Lab,7.31,7.7,-0.38999987,2503,1639,4926,Jul 2013 - Sep 2013,Oct 2006 - Oct 2019
Sankarea,7.28,7.67,-0.38999987,2668,1764,79877,Apr 2012 - Jun 2012,Dec 2009 - Nov 2014
Kekkaishi,7.6,7.99,-0.38999987,1384,741,29182,Oct 2006 - Feb 2008,Feb 2004 - Apr 2011
Dimension W,7.19,7.58,-0.38999987,3099,2290,14276,Jan 2016 - Mar 2016,Sep 2011 - Jun 2019
xxxHOLiC,7.98,8.37,-0.38999987,619,226,80000,Apr 2006 - Sep 2006,Feb 2003 - Feb 2011
Baka to Test to Shoukanjuu,7.52,7.91,-0.38999987,1650,939,8388,Jan 2010 - Apr 2010,Jan 2007 - Mar 2015
Yaoguai Mingdan,6.81,7.2,-0.38999987,4849,5792,2824,Dec 2014 - Sep 2015,Apr 2014 - Dec 2023
Manyuu Hikenchou,6.19,6.58,-0.38999987,7940,13994,2233,Jul 2011 - Sep 2011,Mar 2007 - Jan 2012
Rekka no Honoo,7.34,7.73,-0.38999987,2363,1523,14480,Jul 1997 - Jul 1998,Mar 1995 - Oct 2002
Hiyokoi,7.28,7.67,-0.38999987,2641,1809,55107,Jul 2010 - Jul 2010,Nov 2009 - Nov 2014
Mahouka Koukou no Rettousei: Raihousha-hen,7.28,7.67,-0.38999987,2652,1782,3867,Oct 2020 - Dec 2020,Dec 2015 - Jun 2019
Love Hina,7.1,7.49,-0.38999987,3572,2895,2187,Apr 2000 - Sep 2000,May 2001 - Feb 2002
Tasogare Otome x Amnesia,7.83,8.22,-0.39000034,872,392,45506,Apr 2012 - Jun 2012,Apr 2008 - Sep 2013
Ayashi no Ceres,7.18,7.57,-0.39000034,3176,2352,14014,Apr 2000 - Sep 2000,Aug 1996 - Jan 2000
Ichiban Ushiro no Daimaou,6.74,7.13,-0.39000034,5161,6653,4180,Apr 2010 - Jun 2010,Feb 2008 - Apr 2014
Karakai Jouzu no Takagi-san,7.7,8.09,-0.39000034,1150,580,74928,Jan 2018 - Mar 2018,Jun 2012 - Dec 2023
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,7.47,7.86,-0.39000034,1827,1048,10287,Apr 2020 - Jun 2020,Aug 2015 - Dec 2023
Papa no Iukoto wo Kikinasai!,7.26,7.66,-0.39999962,2763,1847,2990,Jan 2012 - Mar 2012,Dec 2009 - Mar 2015
Jahy-sama wa Kujikenai!,7.05,7.45,-0.39999962,3780,3199,38937,Aug 2021 - Dec 2021,Aug 2017 - Dec 2023
Beck,8.29,8.69,-0.39999962,250,51,74038,Oct 2004 - Mar 2005,Feb 2000 - Jun 2008
Juuni Kokuki,8.02,8.42,-0.39999962,572,184,8877,Apr 2002 - Aug 2003,Jun 1992 - Dec 2023
Ladies versus Butlers!,6.56,6.96,-0.4000001,6075,9143,1716,Jan 2010 - Mar 2010,Apr 2008 - Dec 2023
Youkai Apartment no Yuuga na Nichijou,7.18,7.58,-0.4000001,3171,2287,4046,Jul 2017 - Dec 2017,May 2011 - Dec 2023
Happy Sugar Life,6.79,7.19,-0.4000001,4940,5949,23158,Jul 2018 - Sep 2018,May 2015 - Jan 2020
Boku wa Tomodachi ga Sukunai,7.16,7.56,-0.4000001,3250,2415,23581,Oct 2011 - Dec 2011,Mar 2010 - Dec 2020
Ao no Exorcist,7.5,7.9,-0.4000001,1710,970,151795,Apr 2011 - Oct 2011,Apr 2009 - Dec 2023
Gakuen Babysitters,7.9,8.3,-0.4000001,736,299,23540,Jan 2018 - Mar 2018,Sep 2009 - Dec 2023
"009 Re:Cyborg",6.44,6.84,-0.4000001,6685,10844,1082,Oct 2012 - Oct 2012,May 2012 - Sep 2015
Getter Robo,6.77,7.17,-0.4000001,5016,6165,5859,Apr 1974 - May 1975,Apr 1974 - May 1975
Toaru Majutsu no Index,7.36,7.76,-0.4000001,2257,1407,15235,Oct 2008 - Mar 2009,Apr 2007 - Dec 2023
Overman King Gainer,6.99,7.39,-0.4000001,4080,3713,535,Sep 2002 - Mar 2003,May 2002 - Mar 2008
Chobits,7.4,7.8,-0.4000001,2093,1245,65969,Apr 2002 - Sep 2002,Sep 2000 - Oct 2002
Fate/Apocrypha,7.19,7.59,-0.4000001,3101,2219,5375,Jul 2017 - Dec 2017,Dec 2012 - Dec 2014
Honoo no Mirage,6.5,6.9,-0.4000001,6425,9855,510,Jan 2002 - Apr 2002,Aug 1994 - Apr 1997
Tensei Kizoku no Isekai Boukenroku: Jichou wo Shiranai Kamigami no Shito,6.63,7.03,-0.4000001,5732,8114,14259,Apr 2023 - Jun 2023,Mar 2018 - Dec 2023
Zettai Karen Children,7.29,7.69,-0.4000001,2618,1687,8119,Apr 2008 - Mar 2009,Aug 2005 - Jul 2021
Haikyuu!!,8.44,8.84,-0.40000057,151,28,206090,Apr 2014 - Sep 2014,Feb 2012 - Jul 2020
Kanojo mo Kanojo,6.54,6.95,-0.40999985,6166,9219,33082,Jul 2021 - Sep 2021,Mar 2020 - May 2023
Aishite Knight,6.79,7.2,-0.40999985,4920,5761,857,Mar 1983 - Jan 1984,Jul 1981 - Dec 1983
Oushitsu Kyoushi Heine,7.46,7.87,-0.40999985,1865,1022,6022,Apr 2017 - Jun 2017,Nov 2013 - May 2021
Canvas 2: Nijiiro no Sketch,6.73,7.14,-0.40999985,5221,6529,582,Oct 2005 - Mar 2006,Apr 2005 - Sep 2006
Whistle!,7.38,7.79,-0.40999985,2184,1280,5741,May 2002 - Feb 2003,Feb 1998 - Oct 2002
Goblin Slayer,7.42,7.83,-0.40999985,2031,1153,20738,Oct 2018 - Dec 2018,Feb 2016 - Dec 2023
Gokinjo Monogatari,7.62,8.03,-0.40999985,1333,677,10769,Sep 1995 - Sep 1996,Feb 1995 - Oct 1997
Special A,7.5,7.91,-0.40999985,1734,932,40859,Apr 2008 - Sep 2008,Feb 2003 - Mar 2009
Planetarian: Chiisana Hoshi no Yume,7.56,7.97,-0.40999985,1520,782,1510,Jul 2016 - Aug 2016,Apr 2006 - Apr 2006
Inou-Battle wa Nichijou-kei no Naka de,7.06,7.47,-0.40999985,3761,3056,3816,Oct 2014 - Dec 2014,Jun 2012 - Jan 2018
To LOVE-Ru Darkness,7.43,7.84,-0.41000032,1959,1114,48034,Oct 2012 - Dec 2012,Oct 2010 - Mar 2017
Ikkitousen,6.39,6.8,-0.41000032,6961,11266,7918,Jul 2003 - Oct 2003,Apr 2000 - Aug 2015
Maou Dante,5.99,6.4,-0.41000032,8933,15734,2162,Aug 2002 - Nov 2002,Jan 1971 - Jun 1971
Slow Start,7.01,7.43,-0.4199996,3996,3397,2243,Jan 2018 - Mar 2018,Jun 2013 - Dec 2023
Oshiete! Galko-chan,7.03,7.45,-0.4199996,3871,3230,6304,Jan 2016 - Mar 2016,Jun 2014 - Jun 2021
