"title","a_score","m_score","score_gap","a_rank","m_rank","members","fixed_aired","fixed_published"
Mahou Shoujo Ikusei Keikaku,6.96,8.13,-1.1700001,4175,512,4911,Oct 2016 - Dec 2016,Jun 2012 - Dec 2023
Eat-Man,6.36,7.53,-1.1700001,7103,2587,3589,Jan 1997 - Mar 1997,Jan 1996 - Jul 2003
Kenja no Deshi wo Nanoru Kenja,6.31,7.49,-1.1799998,7343,2924,3648,Jan 2022 - Mar 2022,Jun 2014 - Dec 2023
Kyoukaisenjou no Horizon,7.02,8.2,-1.1799998,3932,412,5702,Oct 2011 - Dec 2011,Sep 2008 - Dec 2018
Super Lovers,6.83,8.01,-1.1800003,4715,717,22933,Apr 2016 - Jun 2016,Oct 2009 - Dec 2023
Himegoto,5.89,7.07,-1.1800003,9386,7471,7528,Jul 2014 - Sep 2014,Nov 2011 - Jun 2015
Hyakuren no Haou to Seiyaku no Valkyria,5.69,6.88,-1.19,10154,10209,1499,Jul 2018 - Sep 2018,Jul 2013 - Dec 2023
Chocolat no Mahou,6.22,7.41,-1.19,7807,3526,2200,Mar 2011 - Jan 2013,Sep 2008 - Dec 2023
Kodomo no Omocha,7.11,8.3,-1.19,3511,292,21372,Dec 1995 - Dec 1995,Jul 1994 - Oct 1998
Earthian,6.01,7.21,-1.1999998,8832,5692,2035,Jul 1989 - Dec 1996,Apr 1988 - Jul 1994
"Kyou, Koi wo Hajimemasu",6.45,7.65,-1.2000003,6646,1892,46776,Jun 2010 - Oct 2010,Sep 2007 - Feb 2012
Ichigeki Sacchuu!! Hoihoi-san,6.03,7.24,-1.2099996,8734,5332,1072,Sep 2004 - Sep 2004,Sep 2004 - Sep 2004
Saihate no Paladin,6.84,8.05,-1.21,4701,651,8054,Oct 2021 - Jan 2022,Mar 2016 - Dec 2023
Yume de Aetara,6.33,7.54,-1.21,7282,2536,4907,Apr 1998 - Dec 1998,Feb 1994 - Dec 1999
Togainu no Chi,6.23,7.44,-1.21,7737,3309,4514,Oct 2010 - Dec 2010,Mar 2006 - Jul 2013
Brothers Conflict,5.95,7.16,-1.21,9110,6275,2466,Jul 2013 - Sep 2013,Dec 2010 - Jul 2012
Clockwork Planet,6.44,7.66,-1.2199998,6692,1854,4973,Apr 2017 - Jun 2017,Apr 2013 - Dec 2015
Andromeda Stories,5.64,6.86,-1.2200003,10336,10528,599,Aug 1982 - Aug 1982,Nov 1980 - May 1982
Noblesse,6.88,8.11,-1.2299995,4494,554,104349,Oct 2020 - Dec 2020,Dec 2007 - Jan 2019
Seireitsukai no Blade Dance,6.69,7.93,-1.2399998,5421,870,8322,Jul 2014 - Sep 2014,Dec 2010 - Mar 2019
Nobunaga-sensei no Osanazuma,5.31,6.56,-1.25,11408,14262,945,Apr 2019 - Jun 2019,May 2017 - Aug 2019
Good Morning Call,6.04,7.31,-1.27,8710,4551,10826,Aug 2001 - Aug 2001,Aug 1997 - Mar 2002
Sayonara Watashi no Cramer,6.09,7.37,-1.2799997,8455,3842,3694,Apr 2021 - Jun 2021,May 2016 - Dec 2020
Vassalord.,6.77,8.05,-1.2800002,4996,645,15649,Mar 2013 - Mar 2013,Nov 2004 - Feb 2013
