"mid","title","rank","type","volumes","published","members","page_url","image_url","score","fixed_published"
1625,Wolf & Mary,12684,Manhua,"3",Jun 2011 - Jul 2011,559,https://myanimelist.net/manga/57391/Wolf___Mary,https://cdn.myanimelist.net/r/100x140/images/manga/1/99671.jpg?s=687fe6496cc850e73500109a0aebcfc1,6.69,Jun 2011 - Jul 2011
1627,Harley Takes the House,17080,Manhwa,?,Feb 2020 - May 2022,1566,https://myanimelist.net/manga/139473/Harley_Takes_the_House,https://cdn.myanimelist.net/r/100x140/images/manga/3/249117.jpg?s=3922592d91ca51b069a2b36d04ddbe4e,6.11,Feb 2020 - May 2022
1628,Toumei na Usui Mizuiro ni,16581,Manga,"1",Oct 2017 - Dec 2017,1331,https://myanimelist.net/manga/116313/Toumei_na_Usui_Mizuiro_ni,https://cdn.myanimelist.net/r/100x140/images/manga/2/212942.jpg?s=9946d8cd9cae013238dcb4fb2138871c,6.25,Oct 2017 - Dec 2017
1629,Aka Ihon,16488,Manga,"1",Dec 2015 - Jun 2016,1445,https://myanimelist.net/manga/115346/Aka_Ihon,https://cdn.myanimelist.net/r/100x140/images/manga/2/222778.jpg?s=2abcd6c10326306efbca78a1de76255e,6.27,Dec 2015 - Jun 2016
1630,Kidou Senshi Moon Gundam,6844,Manga,?,Sep 2017 -,721,https://myanimelist.net/manga/109783/Kidou_Senshi_Moon_Gundam,https://cdn.myanimelist.net/r/100x140/images/manga/1/212656.jpg?s=54b28a10063aad61b70240aac0e49dc3,7.12,Sep 2017 - Dec 2023
1631,Shoujo Kishidan x Knight Tale,14566,Manga,"3",Apr 2016 - Dec 2017,4768,https://myanimelist.net/manga/98481/Shoujo_Kishidan_x_Knight_Tale,https://cdn.myanimelist.net/r/100x140/images/manga/1/184996.jpg?s=ad1f9310142d185aac41ad1bb28653a9,6.53,Apr 2016 - Dec 2017
1632,Mushi to Uta,6918,Manga,"1",Aug 2006 - Oct 2009,3821,https://myanimelist.net/manga/36013/Mushi_to_Uta,https://cdn.myanimelist.net/r/100x140/images/manga/3/192283.jpg?s=9eaf592670b37b78008a60bd7cb17201,7.11,Aug 2006 - Oct 2009
1633,"Futago no Ane ga Miko toshite Hikitorarete, Watashi wa Suterareta kedo Tabun Watashi ga Miko de Aru.",12283,Manga,?,Jul 2019 -,1847,https://myanimelist.net/manga/121346/Futago_no_Ane_ga_Miko_toshite_Hikitorarete_Watashi_wa_Suterareta_kedo_Tabun_Watashi_ga_Miko_de_Aru,https://cdn.myanimelist.net/r/100x140/images/manga/2/232531.jpg?s=88c723ccd617b7affc9b1a3d8984474b,6.72,Jul 2019 - Dec 2023
1635,Tanaka no Atelier: Nenrei=Kanojo Inai Reki no Mahoutsukai,17587,Manga,"5",Aug 2019 - Jun 2021,1145,https://myanimelist.net/manga/126982/Tanaka_no_Atelier__Nenrei_Kanojo_Inai_Reki_no_Mahoutsukai,https://cdn.myanimelist.net/r/100x140/images/manga/3/236204.jpg?s=9974304efd50ec30fc96b61da834cd56,5.78,Aug 2019 - Jun 2021
1636,Zipman!!,17786,Manga,"2",Dec 2019 - Apr 2020,4633,https://myanimelist.net/manga/123078/Zipman,https://cdn.myanimelist.net/r/100x140/images/manga/2/228640.jpg?s=facc81afd0c256483a6001bab33982ae,5.33,Dec 2019 - Apr 2020
1637,Shokei sareta Kenja wa Lich ni Tensei shite Shinryaku Sensou wo Hajimeru,6243,Manga,?,Jun 2020 -,8690,https://myanimelist.net/manga/131071/Shokei_sareta_Kenja_wa_Lich_ni_Tensei_shite_Shinryaku_Sensou_wo_Hajimeru,https://cdn.myanimelist.net/r/100x140/images/manga/1/236955.jpg?s=543656229353685a7b37a548d782c45d,7.16,Jun 2020 - Dec 2023
1638,Mahoutsukai ni Taisetsu na Koto: Taiyou to Kaze no Sakamichi,3767,Manga,"5",Dec 2003 - Feb 2006,1325,https://myanimelist.net/manga/531/Mahoutsukai_ni_Taisetsu_na_Koto__Taiyou_to_Kaze_no_Sakamichi,https://cdn.myanimelist.net/r/100x140/images/manga/2/175874.jpg?s=92eab0f52371d543282c86f71e481d6e,7.38,Dec 2003 - Feb 2006
1640,Kuruizaki no Hana,2893,Manga,"5",Nov 2003 - Aug 2006,1009,https://myanimelist.net/manga/4459/Kuruizaki_no_Hana,https://cdn.myanimelist.net/r/100x140/images/manga/3/10581.jpg?s=481a6084a833090e7cd44d046a196783,7.49,Nov 2003 - Aug 2006
1641,Shunkan x Heroism,14793,One-shot,?,Aug 2010 - Aug 2010,416,https://myanimelist.net/manga/21378/Shunkan_x_Heroism,https://cdn.myanimelist.net/r/100x140/images/manga/2/34441.jpg?s=7911490fda32bd6c248a399f04978ba6,6.51,Aug 2010 - Aug 2010
1643,Philia Rosé: The Prophecy of the Crown of Thorns,5984,Manhwa,?,Nov 2021 -,621,https://myanimelist.net/manga/147780/Philia_Rosé__The_Prophecy_of_the_Crown_of_Thorns,https://cdn.myanimelist.net/r/100x140/images/manga/2/262259.jpg?s=c2545551c3ed53ed5617c57ce605cb7e,7.18,Nov 2021 - Dec 2023
1644,ənígmə,7462,Manga,"7",Sep 2010 - Oct 2011,11810,https://myanimelist.net/manga/22031/ənígmə,https://cdn.myanimelist.net/r/100x140/images/manga/4/39803.jpg?s=3df6a8b747926bdaa03944973cc824e0,7.07,Sep 2010 - Oct 2011
1645,Hallelujah Overdrive!,5237,Manga,"15",Jun 2009 - Oct 2015,1711,https://myanimelist.net/manga/25538/Hallelujah_Overdrive,https://cdn.myanimelist.net/r/100x140/images/manga/2/163926.jpg?s=588afc485f7bce0d20c3ac7564e560b8,7.25,Jun 2009 - Oct 2015
1646,Everyday Lily,10118,Manhwa,?,Jun 2016 - May 2017,380,https://myanimelist.net/manga/141635/Everyday_Lily,https://cdn.myanimelist.net/r/100x140/images/manga/3/263831.jpg?s=0c58805cbed40f8d1b7329e9857d1c23,6.89,Jun 2016 - May 2017
1647,Tokimeki no Ikenie,14776,Manga,"3",Jan 2020 - Sep 2021,995,https://myanimelist.net/manga/125749/Tokimeki_no_Ikenie,https://cdn.myanimelist.net/r/100x140/images/manga/3/235030.jpg?s=8c59ad0ca58d595b75c94b4bc71cebfb,6.51,Jan 2020 - Sep 2021
1648,Watashi ni Tenshi ga Maiorita!,3007,Manga,?,Nov 2016 -,5376,https://myanimelist.net/manga/106175/Watashi_ni_Tenshi_ga_Maiorita,https://cdn.myanimelist.net/r/100x140/images/manga/1/196509.jpg?s=c231105a58ace4812add6ab0ab94d623,7.47,Nov 2016 - Dec 2023
