"mid","title","rank","type","volumes","published","members","page_url","image_url","score","fixed_published"
13795,Kasou Ryouiki no Elysion,11118,Light-Novel,"3",Dec 2013 - Jul 2014,870,https://myanimelist.net/manga/63515/Kasou_Ryouiki_no_Elysion,https://cdn.myanimelist.net/r/100x140/images/manga/1/163378.jpg?s=88b185ce5bb311bc2bc1922ea49ac0c4,6.81,Dec 2013 - Jul 2014
13796,Onaidoshi no Oneesan,17370,One-shot,?,Jan 2014 - Jan 2014,316,https://myanimelist.net/manga/71221/Onaidoshi_no_Oneesan,https://cdn.myanimelist.net/r/100x140/images/manga/2/122621.jpg?s=e581c32736519a830fed9a7d879433b2,5.96,Jan 2014 - Jan 2014
13797,Watashi no Shiawase na Kekkon,754,Manga,?,Dec 2018 -,11823,https://myanimelist.net/manga/118232/Watashi_no_Shiawase_na_Kekkon,https://cdn.myanimelist.net/r/100x140/images/manga/2/223940.jpg?s=0cc4388e961071da2f5dca5f08fc3aa6,7.98,Dec 2018 - Dec 2023
13798,Setsunai Himitsu,13091,Manga,"1",Mar 2008 -,400,https://myanimelist.net/manga/23108/Setsunai_Himitsu,https://cdn.myanimelist.net/r/100x140/images/manga/3/37872.jpg?s=739ede1c3608c734ea6e5f0a8f869a03,6.66,Mar 2008 - Dec 2023
13799,Red Hood,15831,Manga,"3",Jun 2021 - Nov 2021,17521,https://myanimelist.net/manga/137812/Red_Hood,https://cdn.myanimelist.net/r/100x140/images/manga/1/251919.jpg?s=acd71e83a499860adeb2db5f0cf233bc,6.39,Jun 2021 - Nov 2021
13800,Ningen Deshita,8615,Manga,"1",Dec 2013 - Apr 2014,883,https://myanimelist.net/manga/65663/Ningen_Deshita,https://cdn.myanimelist.net/r/100x140/images/manga/3/128615.jpg?s=77d2b5d6837f07efbf326c87c9138296,6.99,Dec 2013 - Apr 2014
13801,Utsukushii Inu,17800,Manga,"2",Dec 2016 - Aug 2017,400,https://myanimelist.net/manga/106197/Utsukushii_Inu,https://cdn.myanimelist.net/r/100x140/images/manga/2/197083.jpg?s=43856417067cbe0af66b92474af55743,5.25,Dec 2016 - Aug 2017
13802,Kaguhara-san no Feti Note,3105,Manga,?,Oct 2021 -,1891,https://myanimelist.net/manga/149000/Kaguhara-san_no_Feti_Note,https://cdn.myanimelist.net/r/100x140/images/manga/3/271847.jpg?s=02e4c06728c3663ef73c569d60734adf,7.46,Oct 2021 - Dec 2023
13803,Araburu Kisetsu no Otome-domo yo.,3845,Manga,"8",Dec 2016 - Sep 2019,10599,https://myanimelist.net/manga/102564/Araburu_Kisetsu_no_Otome-domo_yo,https://cdn.myanimelist.net/r/100x140/images/manga/3/193441.jpg?s=3d9190a3c5ee00ff175e3cb116006047,7.37,Dec 2016 - Sep 2019
13804,Color Recipe Clear,12425,One-shot,?,May 2019 - May 2019,325,https://myanimelist.net/manga/121046/Color_Recipe_Clear,https://cdn.myanimelist.net/r/100x140/images/manga/3/248942.jpg?s=c66d4aaf90380c64ee4dd62d3608b48b,6.71,May 2019 - May 2019
13805,Mahou Shoujo Lyrical Nanoha ViVid,2007,Manga,"20",May 2009 - Oct 2017,3479,https://myanimelist.net/manga/14238/Mahou_Shoujo_Lyrical_Nanoha_ViVid,https://cdn.myanimelist.net/r/100x140/images/manga/3/202273.jpg?s=f1df1baebc46369ec77414f27f90c760,7.63,May 2009 - Oct 2017
13806,Reki Yomi,5883,Manga,"3",May 2018 - Jun 2020,828,https://myanimelist.net/manga/121326/Reki_Yomi,https://cdn.myanimelist.net/r/100x140/images/manga/1/221010.jpg?s=8995c5f8a01ec96cf1239cca2aae623d,7.19,May 2018 - Jun 2020
13807,Kouya no Hanayome,16012,Manga,"3",Feb 2017 - Oct 2019,616,https://myanimelist.net/manga/104963/Kouya_no_Hanayome,https://cdn.myanimelist.net/r/100x140/images/manga/1/206306.jpg?s=18fbc61d4daa7cd0005aff7596a8fbba,6.36,Feb 2017 - Oct 2019
13808,Rokudenashi Blues,1618,Manga,"42",May 1988 - Feb 1997,8858,https://myanimelist.net/manga/4444/Rokudenashi_Blues,https://cdn.myanimelist.net/r/100x140/images/manga/2/184928.jpg?s=306e9017911822327ca1f9891d67304b,7.71,May 1988 - Feb 1997
13809,Ruriiro de Kimi wo Kazatte,10658,Manga,"1",Jun 2020 - Feb 2021,257,https://myanimelist.net/manga/142167/Ruriiro_de_Kimi_wo_Kazatte,https://cdn.myanimelist.net/r/100x140/images/manga/3/252854.jpg?s=5d695074400107ac349176b16548c654,6.85,Jun 2020 - Feb 2021
13810,Girl's Ride,11569,Manga,"1",Nov 2009 - Oct 2012,1286,https://myanimelist.net/manga/23225/Girls_Ride,https://cdn.myanimelist.net/r/100x140/images/manga/2/102893.jpg?s=c45c3e998570cc65199712d293a80e7e,6.78,Nov 2009 - Oct 2012
13811,Kanojo wa Itsumo Kagayaiteita,7381,One-shot,?,Apr 2019 - Apr 2019,433,https://myanimelist.net/manga/121587/Kanojo_wa_Itsumo_Kagayaiteita,https://cdn.myanimelist.net/r/100x140/images/manga/2/234765.jpg?s=3dffa4e05b0d6a5e3946fadd8633ee72,7.08,Apr 2019 - Apr 2019
13812,Bokura no Yukue wa,8612,Manga,"1",Sep 2010 - Aug 2013,1923,https://myanimelist.net/manga/62755/Bokura_no_Yukue_wa,https://cdn.myanimelist.net/r/100x140/images/manga/1/107659.jpg?s=e2b0fa19aef374cc93265494cd2184cc,6.99,Sep 2010 - Aug 2013
13814,Ruby Blood,16408,Manga,"1",Feb 2006 - Feb 2006,287,https://myanimelist.net/manga/14676/Ruby_Blood,https://cdn.myanimelist.net/r/100x140/images/manga/2/21057.jpg?s=8a12d82aec9066f1cc83bf6fc8bc05bb,6.29,Feb 2006 - Feb 2006
13817,Skirt.,17667,One-shot,?,Jul 2011 - Jul 2011,360,https://myanimelist.net/manga/33945/Skirt,https://cdn.myanimelist.net/r/100x140/images/manga/1/61849.jpg?s=85739d2f08be29822ed9d8a3ce81538c,5.66,Jul 2011 - Jul 2011
13818,Fenrir-neesan to Boku,16057,Manga,"3",Jan 2018 - Jan 2019,1185,https://myanimelist.net/manga/112264/Fenrir-neesan_to_Boku,https://cdn.myanimelist.net/r/100x140/images/manga/3/210732.jpg?s=1b925fffe3f4000093b4d7b0f6f0c3d4,6.35,Jan 2018 - Jan 2019
13819,Wareware wa Neko de Aru,9736,Manga,"1",Oct 2013 - Jul 2016,384,https://myanimelist.net/manga/120395/Wareware_wa_Neko_de_Aru,https://cdn.myanimelist.net/r/100x140/images/manga/1/239751.jpg?s=e4278250caff2eac1f1688cb9905b57b,6.91,Oct 2013 - Jul 2016
13820,Ookami-tachi no Gohoubi,14553,Manga,"1",Jul 2008 - Sep 2008,621,https://myanimelist.net/manga/12742/Ookami-tachi_no_Gohoubi,https://cdn.myanimelist.net/r/100x140/images/manga/3/179891.jpg?s=8f717e8ef9b6ede2499489fc61df43b6,6.53,Jul 2008 - Sep 2008
13821,Tales of Xillia: Side;Milla,9394,Manga,"5",Sep 2011 - May 2014,1842,https://myanimelist.net/manga/28027/Tales_of_Xillia__Side_Milla,https://cdn.myanimelist.net/r/100x140/images/manga/2/121371.jpg?s=4c2af41ac579aa0b2a5d6f8a9f91a944,6.94,Sep 2011 - May 2014
13822,Kyosei Tensei,17552,Manga,"6",Sep 2019 - Jan 2023,2410,https://myanimelist.net/manga/133434/Kyosei_Tensei,https://cdn.myanimelist.net/r/100x140/images/manga/1/240795.jpg?s=fc823debba4411b29452f44f1d798a81,5.81,Sep 2019 - Jan 2023
13824,"Seiya, Mayoeru Kohitsuji ni",16650,One-shot,?,Nov 2010 - Nov 2010,760,https://myanimelist.net/manga/56569/Seiya_Mayoeru_Kohitsuji_ni,https://cdn.myanimelist.net/r/100x140/images/manga/4/111247.jpg?s=06567b45fdfd86f1d9769b84e1df7dca,6.24,Nov 2010 - Nov 2010
13825,Sanjin Sadou,14919,Manga,"2",Sep 2002 - May 2004,960,https://myanimelist.net/manga/17909/Sanjin_Sadou,https://cdn.myanimelist.net/r/100x140/images/manga/2/260804.jpg?s=e7299edbf9f703cc704f54c6280bd96e,6.5,Sep 2002 - May 2004
13826,Yumi to Kurumi,2524,Manga,"1",Jul 2018 - Oct 2018,1815,https://myanimelist.net/manga/115816/Yumi_to_Kurumi,https://cdn.myanimelist.net/r/100x140/images/manga/2/222806.jpg?s=ce50e7d7c7fe636737f7436532eec6ec,7.54,Jul 2018 - Oct 2018
13827,Mobile Suit Gundam SEED Destiny Astray,6390,Manga,"4",Sep 2004 - Apr 2006,630,https://myanimelist.net/manga/10982/Mobile_Suit_Gundam_SEED_Destiny_Astray,https://cdn.myanimelist.net/r/100x140/images/manga/3/14793.jpg?s=5d50589b729a410d5a68756a726d318b,7.15,Sep 2004 - Apr 2006
13828,Akachan to Boku,1862,Manga,"18",May 1991 - Jun 1997,2490,https://myanimelist.net/manga/76/Akachan_to_Boku,https://cdn.myanimelist.net/r/100x140/images/manga/3/179184.jpg?s=72754c8e5991c322935e42ad9e94504c,7.66,May 1991 - Jun 1997
13829,Doll,6948,Manga,"1",Jan 1996 - Jan 1996,1074,https://myanimelist.net/manga/1566/Doll,https://cdn.myanimelist.net/r/100x140/images/manga/1/152341.jpg?s=427e713ccae7836b4b3eaf768b119fc0,7.11,Jan 1996 - Jan 1996
13830,Watashibito,14658,One-shot,?,Aug 2016 - Aug 2016,568,https://myanimelist.net/manga/103940/Watashibito,https://cdn.myanimelist.net/r/100x140/images/manga/1/190468.jpg?s=1ed6e544aa0a1b247098eee488c7b022,6.52,Aug 2016 - Aug 2016
13832,Otome no Itari,6223,One-shot,?,May 2020 - May 2020,798,https://myanimelist.net/manga/129375/Otome_no_Itari,https://cdn.myanimelist.net/r/100x140/images/manga/3/236008.jpg?s=53c95ed8485a119b32e4d123fc12ea73,7.17,May 2020 - May 2020
13833,Josou shite Mendokusai Koto ni Natteru Nekura to Yankee no Ryou Kataomoi,3815,Manga,?,Sep 2018 -,1632,https://myanimelist.net/manga/118126/Josou_shite_Mendokusai_Koto_ni_Natteru_Nekura_to_Yankee_no_Ryou_Kataomoi,https://cdn.myanimelist.net/r/100x140/images/manga/3/221159.jpg?s=bf5b0ae0fb1512166b5e542921ef95df,7.38,Sep 2018 - Dec 2023
13834,Unlucky Boy Undead Girl,5226,One-shot,?,Jan 2015 - Jan 2015,4516,https://myanimelist.net/manga/87281/Unlucky_Boy_Undead_Girl,https://cdn.myanimelist.net/r/100x140/images/manga/3/151937.jpg?s=88751691f3b07eb63a51d9113ebe6118,7.25,Jan 2015 - Jan 2015
13835,Gamaran,1633,Manga,"22",May 2009 - Jun 2013,31379,https://myanimelist.net/manga/14582/Gamaran,https://cdn.myanimelist.net/r/100x140/images/manga/2/122963.jpg?s=0c04275596eccea99839b8b2152eaccc,7.7,May 2009 - Jun 2013
13837,Twins Game,16849,Manga,"1",Jul 2012 - Jul 2012,700,https://myanimelist.net/manga/43353/Twins_Game,https://cdn.myanimelist.net/r/100x140/images/manga/3/76171.jpg?s=71627f8a5057cb093b04071082c205b4,6.19,Jul 2012 - Jul 2012
13838,Canaria-tachi no Fune,14113,Manga,"1",Jun 2015 - Nov 2015,1270,https://myanimelist.net/manga/99920/Canaria-tachi_no_Fune,https://cdn.myanimelist.net/r/100x140/images/manga/3/180666.jpg?s=09c3208c3d9214f1f473448230ffa05b,6.57,Jun 2015 - Nov 2015
13842,Kanojo no Kuchizuke,5064,Doujinshi,?,Feb 2015 -,1666,https://myanimelist.net/manga/92724/Kanojo_no_Kuchizuke,https://cdn.myanimelist.net/r/100x140/images/manga/2/163649.jpg?s=6c3561bd75779250c9843ee7a55bd597,7.26,Feb 2015 - Dec 2023
13843,Digimon Story: Cyber Sleuth,14016,One-shot,?,Feb 2015 - Feb 2015,291,https://myanimelist.net/manga/96169/Digimon_Story__Cyber_Sleuth,https://cdn.myanimelist.net/r/100x140/images/manga/3/220599.jpg?s=678d976b161c99f7953ab8eda7291b2a,6.58,Feb 2015 - Feb 2015
13844,Kirakira no Hibi,3826,Manga,"1",Jul 2010 - Jan 2013,4530,https://myanimelist.net/manga/54337/Kirakira_no_Hibi,https://cdn.myanimelist.net/r/100x140/images/manga/5/94925.jpg?s=a3a7a5d6a93405b5fee7d71439a62ef4,7.38,Jul 2010 - Jan 2013
13847,Locomoco,8988,Manga,"2",Dec 2011 - Jul 2012,1799,https://myanimelist.net/manga/33017/Locomoco,https://cdn.myanimelist.net/r/100x140/images/manga/2/98771.jpg?s=479ed36fef34a7e438afbfdc0911a92f,6.97,Dec 2011 - Jul 2012
13848,Life Is Money,7151,Manga,"3",Aug 2011 - Oct 2012,11701,https://myanimelist.net/manga/28184/Life_Is_Money,https://cdn.myanimelist.net/r/100x140/images/manga/2/196692.jpg?s=55e3956bf3899d091381e71ad0e885fb,7.09,Aug 2011 - Oct 2012
13849,Negima!? Neo,9603,Manga,"7",Sep 2006 - Aug 2009,5388,https://myanimelist.net/manga/597/Negima_Neo,https://cdn.myanimelist.net/r/100x140/images/manga/2/156574.jpg?s=a0a90275276dad45cb64ed5b8d228726,6.92,Sep 2006 - Aug 2009
13850,Genjitsu Shugi Yuusha no Oukoku Saikenki,3195,Manga,?,Jul 2017 -,18744,https://myanimelist.net/manga/107795/Genjitsu_Shugi_Yuusha_no_Oukoku_Saikenki,https://cdn.myanimelist.net/r/100x140/images/manga/1/207420.jpg?s=004fdaff2a7425cc808cc8f359d93952,7.45,Jul 2017 - Dec 2023
13852,Gekijouban Pocket Monster AG: Rekkuu no Houmonsha Deoxys,13265,Manga,"1",May 2004 - Jul 2004,460,https://myanimelist.net/manga/24225/Gekijouban_Pocket_Monster_AG__Rekkuu_no_Houmonsha_Deoxys,https://cdn.myanimelist.net/r/100x140/images/manga/1/39114.jpg?s=5f834a56f29fbcfa2c75942bd93d28dc,6.65,May 2004 - Jul 2004
13853,Jumping,8163,Manga,"4",May 2015 - Apr 2017,364,https://myanimelist.net/manga/96749/Jumping,https://cdn.myanimelist.net/r/100x140/images/manga/1/180901.jpg?s=51ff5dd173696c8d7d70152fb1038161,7.02,May 2015 - Apr 2017
13854,Girls x Sekuha-Life,16476,Manga,"2",Jan 2018 - Jul 2019,1025,https://myanimelist.net/manga/111946/Girls_x_Sekuha-Life,https://cdn.myanimelist.net/r/100x140/images/manga/3/210030.jpg?s=ca2f4ab68f0ed9c9037f5eeae35701ab,6.28,Jan 2018 - Jul 2019
13855,Unholy Blood,899,Manhwa,"8",Jan 2020 - Sep 2021,17179,https://myanimelist.net/manga/131843/Unholy_Blood,https://cdn.myanimelist.net/r/100x140/images/manga/2/238421.jpg?s=bbab4da39f69bd6b9c00b98ba8501f11,7.92,Jan 2020 - Sep 2021
13856,God of Bath,3993,Manhwa,"3",Jul 2011 - Feb 2012,3156,https://myanimelist.net/manga/41961/God_of_Bath,https://cdn.myanimelist.net/r/100x140/images/manga/5/106187.jpg?s=9f8436c3b29d224c65df4014468d960d,7.36,Jul 2011 - Feb 2012
13857,Neko to Kiss,2400,Manga,"6",Aug 2020 - Dec 2022,5610,https://myanimelist.net/manga/129280/Neko_to_Kiss,https://cdn.myanimelist.net/r/100x140/images/manga/1/249828.jpg?s=29be84f649edc0bf556d6ddee5c61e56,7.56,Aug 2020 - Dec 2022
13858,Ruri Dragon,1989,Manga,"1",Jun 2022 - Jul 2022,20671,https://myanimelist.net/manga/148054/Ruri_Dragon,https://cdn.myanimelist.net/r/100x140/images/manga/2/269401.jpg?s=fe0321eaccab0c944c753d0f7eddfb77,7.63,Jun 2022 - Jul 2022
13859,Kodomo no Jikan,1215,Manga,"13",May 2005 - Apr 2013,20919,https://myanimelist.net/manga/582/Kodomo_no_Jikan,https://cdn.myanimelist.net/r/100x140/images/manga/1/62557.jpg?s=4d3d777f35e65fc16957d433b04a16b4,7.81,May 2005 - Apr 2013
13860,Kimi ja Nakya Dame Nanda.,3795,Manga,"9",Jan 2009 - Jun 2012,3167,https://myanimelist.net/manga/15525/Kimi_ja_Nakya_Dame_Nanda,https://cdn.myanimelist.net/r/100x140/images/manga/2/22598.jpg?s=8e964b337915b93c91228ffb42452b91,7.38,Jan 2009 - Jun 2012
13861,Gantz,567,Manga,"37",Jul 2000 - Jun 2013,221946,https://myanimelist.net/manga/564/Gantz,https://cdn.myanimelist.net/r/100x140/images/manga/1/278020.jpg?s=d78a167dbc166c26ce5243e17152b2a7,8.1,Jul 2000 - Jun 2013
13862,Mahoutsukai Precure!,4922,Manga,"2",Feb 2016 - Dec 2016,352,https://myanimelist.net/manga/106725/Mahoutsukai_Precure,https://cdn.myanimelist.net/r/100x140/images/manga/1/195307.jpg?s=e5ec4fe2b78d088b2184f63170c70759,7.28,Feb 2016 - Dec 2016
13863,Shangri-La,12865,Manga,"4",Mar 2008 - Dec 2009,804,https://myanimelist.net/manga/21544/Shangri-La,https://cdn.myanimelist.net/r/100x140/images/manga/2/173570.jpg?s=8fa16f467bc2066ecd6caf8d439dbfa3,6.68,Mar 2008 - Dec 2009
13864,Shikkoku Shoujo to Shiro no Doukei,9998,One-shot,?,Feb 2014 - Feb 2014,268,https://myanimelist.net/manga/102193/Shikkoku_Shoujo_to_Shiro_no_Doukei,https://cdn.myanimelist.net/r/100x140/images/manga/2/192995.jpg?s=4fc573ca52133ad4e071befb26c0b88b,6.89,Feb 2014 - Feb 2014
13865,Heads,3441,Manga,"4",Jul 2002 - Apr 2003,13040,https://myanimelist.net/manga/2179/Heads,https://cdn.myanimelist.net/r/100x140/images/manga/1/266962.jpg?s=60d01fd51a889c79bb9e2c3d1a32e85c,7.42,Jul 2002 - Apr 2003
13866,Lost Lad London,8686,Manga,"3",Dec 2019 - May 2021,803,https://myanimelist.net/manga/138453/Lost_Lad_London,https://cdn.myanimelist.net/r/100x140/images/manga/2/254410.jpg?s=e835dec381484064c028b64c563cd47f,6.99,Dec 2019 - May 2021
13867,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama shiteiru",1810,Light-Novel,"13",Jan 2012 - Feb 2016,2728,https://myanimelist.net/manga/54431/Ore_no_Nounai_Sentakushi_ga_Gakuen_Love_Comedy_wo_Zenryoku_de_Jama_shiteiru,https://cdn.myanimelist.net/r/100x140/images/manga/3/158066.jpg?s=97b8c77cc992631be9949a298d40ae49,7.68,Jan 2012 - Feb 2016
13869,Yorukumo,9402,Manga,"5",May 2010 - Jan 2014,1113,https://myanimelist.net/manga/40097/Yorukumo,https://cdn.myanimelist.net/r/100x140/images/manga/1/134739.jpg?s=acff4aa21dd45ccdf6928e9ea9eab87e,6.94,May 2010 - Jan 2014
13870,Kami-Kaze,11041,Manga,"7",Mar 1997 - Feb 2003,2392,https://myanimelist.net/manga/384/Kami-Kaze,https://cdn.myanimelist.net/r/100x140/images/manga/3/180645.jpg?s=4d832e6ea2d25a4b5a00ec2a695d3113,6.82,Mar 1997 - Feb 2003
13872,Tensei Nanajou de Hajimeru Isekai Life: Bannou Maryoku ga Areba Kizoku Shakai mo Yoyuu de Ikirareru to Kiita no desu ga?!,9935,Manga,?,Mar 2021 -,787,https://myanimelist.net/manga/141114/Tensei_Nanajou_de_Hajimeru_Isekai_Life__Bannou_Maryoku_ga_Areba_Kizoku_Shakai_mo_Yoyuu_de_Ikirareru_to_Kiita_no_desu_ga,https://cdn.myanimelist.net/r/100x140/images/manga/3/251369.jpg?s=267a8d09c441c5522bca05b4adeff56d,6.9,Mar 2021 - Dec 2023
13873,Crows Ladies,17669,Manga,"1",Sep 2009 - Nov 2013,733,https://myanimelist.net/manga/74379/Crows_Ladies,https://cdn.myanimelist.net/r/100x140/images/manga/1/128975.jpg?s=ae4738fb0f980a46f1ab69012037d1c3,5.66,Sep 2009 - Nov 2013
13874,UFO Princess Valkyrie,4764,Manga,"11",Feb 2002 - Aug 2007,567,https://myanimelist.net/manga/10049/UFO_Princess_Valkyrie,https://cdn.myanimelist.net/r/100x140/images/manga/1/171718.jpg?s=bfd2cb98a1ae413559842011f5b759da,7.29,Feb 2002 - Aug 2007
13875,Nejishiki,10366,Manga,"1",Jun 1965 - Jul 1984,1791,https://myanimelist.net/manga/10521/Nejishiki,https://cdn.myanimelist.net/r/100x140/images/manga/2/167237.jpg?s=bb035f8c41a328422f4a7f7f4bae2b95,6.87,Jun 1965 - Jul 1984
13876,Gokumane!,15168,One-shot,?,Sep 2021 - Sep 2021,465,https://myanimelist.net/manga/140547/Gokumane,https://cdn.myanimelist.net/r/100x140/images/manga/1/250490.jpg?s=2220a94457e46236998aa9adf43021df,6.47,Sep 2021 - Sep 2021
13877,Umi no Juunin to wa Koi wa Shinai,6702,Manga,?,Jun 2011 - May 2012,1051,https://myanimelist.net/manga/56707/Umi_no_Juunin_to_wa_Koi_wa_Shinai,https://cdn.myanimelist.net/r/100x140/images/manga/3/98555.jpg?s=fac00d82f2c4116813b0ab0efd432a98,7.13,Jun 2011 - May 2012
13878,Setoutsumi,1345,Manga,"8",Dec 2012 - Nov 2017,2682,https://myanimelist.net/manga/72439/Setoutsumi,https://cdn.myanimelist.net/r/100x140/images/manga/2/126323.jpg?s=bba1bc82ea3018d5b29a74196259c8bd,7.77,Dec 2012 - Nov 2017
13879,Sky Blue,7124,Manga,"5",Jun 2010 - Feb 2012,1539,https://myanimelist.net/manga/32233/Sky_Blue,https://cdn.myanimelist.net/r/100x140/images/manga/2/209463.jpg?s=ba367c8079b17943d1509a6b877a8f65,7.1,Jun 2010 - Feb 2012
13880,The Status Window to the Soul,11147,Manhwa,?,Oct 2022 -,673,https://myanimelist.net/manga/152594/The_Status_Window_to_the_Soul,https://cdn.myanimelist.net/r/100x140/images/manga/1/271157.jpg?s=5e4ba223aacc78a2c314b9ae9675cb40,6.81,Oct 2022 - Dec 2023
13881,"2.5-jigen Kareshi",7420,Manga,"2",Nov 2014 - Jun 2015,3355,https://myanimelist.net/manga/84675/25-jigen_Kareshi,https://cdn.myanimelist.net/r/100x140/images/manga/2/157887.jpg?s=b0cd56ed7c0447d92b6694805ceba6d9,7.08,Nov 2014 - Jun 2015
13882,Kodoku no Gourmet,2591,Manga,"2",Jun 1994 - May 2015,3433,https://myanimelist.net/manga/4615/Kodoku_no_Gourmet,https://cdn.myanimelist.net/r/100x140/images/manga/3/207579.jpg?s=d5744e7643e479c8f2ea58d7636186a6,7.53,Jun 1994 - May 2015
13884,Smuggler,12497,Manga,"1",Mar 2000 - Jun 2000,1684,https://myanimelist.net/manga/529/Smuggler,https://cdn.myanimelist.net/r/100x140/images/manga/3/138187.jpg?s=8c61bc5e90e20eae3c85f45c88bb5d01,6.71,Mar 2000 - Jun 2000
13885,Plastic Little,15704,Manga,"1",May 1994 - May 1994,1753,https://myanimelist.net/manga/2912/Plastic_Little,https://cdn.myanimelist.net/r/100x140/images/manga/2/3126.jpg?s=a0708d2cc4018ffc796abc61b7fa190f,6.41,May 1994 - May 1994
13886,Dokidoki Summer Beach,16449,One-shot,?,Aug 2008 - Aug 2008,1679,https://myanimelist.net/manga/10271/Dokidoki_Summer_Beach,https://cdn.myanimelist.net/r/100x140/images/manga/2/167433.jpg?s=5e3b328e553ebbc44bf6eef7e3075e7a,6.28,Aug 2008 - Aug 2008
13887,Change 123,2148,Manga,"12",Jun 2005 - Apr 2010,19435,https://myanimelist.net/manga/5638/Change_123,https://cdn.myanimelist.net/r/100x140/images/manga/4/260866.jpg?s=d9230b6b8141cd082f4f96fa6f891146,7.61,Jun 2005 - Apr 2010
13889,Anata ja Nai to,16345,Manga,"1",Oct 2007 - Oct 2007,1115,https://myanimelist.net/manga/3953/Anata_ja_Nai_to,https://cdn.myanimelist.net/r/100x140/images/manga/2/4549.jpg?s=861e9158c213c8b2806cba2db19b3ed8,6.3,Oct 2007 - Oct 2007
13890,Megane x Parfait!,16317,Manga,"1",Jun 2006 - Apr 2007,460,https://myanimelist.net/manga/29207/Megane_x_Parfait,https://cdn.myanimelist.net/r/100x140/images/manga/3/65221.jpg?s=7f7b0cd2ea53bcfb512e2127e8e69e5b,6.31,Jun 2006 - Apr 2007
13891,Kage no Matsuri,16055,One-shot,?,Oct 2007 - Oct 2007,695,https://myanimelist.net/manga/8769/Kage_no_Matsuri,https://cdn.myanimelist.net/r/100x140/images/manga/3/12002.jpg?s=a40f8c2f329fbef74ee70f510a7fe013,6.35,Oct 2007 - Oct 2007
13892,Kitchen no Ohimesama,926,Manga,"10",Aug 2004 - Sep 2008,23345,https://myanimelist.net/manga/411/Kitchen_no_Ohimesama,https://cdn.myanimelist.net/r/100x140/images/manga/5/112513.jpg?s=620459f991ac2caacd4ccf68fde8fc04,7.91,Aug 2004 - Sep 2008
13893,Hana-kun to Koisuru Watashi,2336,Manga,"10",Apr 2011 - Mar 2015,25161,https://myanimelist.net/manga/26945/Hana-kun_to_Koisuru_Watashi,https://cdn.myanimelist.net/r/100x140/images/manga/2/162159.jpg?s=467d32cbe93eb9aa26d5bed4e2497314,7.57,Apr 2011 - Mar 2015
13894,Saotome-san ni wa Mou Death Game shika Nai,14370,Manga,"3",Feb 2022 - Nov 2022,1147,https://myanimelist.net/manga/148129/Saotome-san_ni_wa_Mou_Death_Game_shika_Nai,https://cdn.myanimelist.net/r/100x140/images/manga/2/264306.jpg?s=1133b24398aab9acb72cc83568ccca74,6.55,Feb 2022 - Nov 2022
13895,Arakawa Under the Bridge,1168,Manga,"15",Dec 2004 - Jul 2015,17096,https://myanimelist.net/manga/14154/Arakawa_Under_the_Bridge,https://cdn.myanimelist.net/r/100x140/images/manga/1/59489.jpg?s=04fef947d8bbb563d57f882852cc7d90,7.83,Dec 2004 - Jul 2015
13896,Houkago no Salome,6857,Manga,"2",Mar 2020 - May 2022,1184,https://myanimelist.net/manga/130374/Houkago_no_Salome,https://cdn.myanimelist.net/r/100x140/images/manga/2/237064.jpg?s=d7a15e4f6aad704c51daf9cb8f122803,7.12,Mar 2020 - May 2022
13897,Isobe Isobee Monogatari: Ukiyo wa Tsurai yo,7826,Manga,"16",May 2013 - Nov 2017,743,https://myanimelist.net/manga/67545/Isobe_Isobee_Monogatari__Ukiyo_wa_Tsurai_yo,https://cdn.myanimelist.net/r/100x140/images/manga/1/115627.jpg?s=18ea51487b36c1cd22a8d136aa3d36cb,7.05,May 2013 - Nov 2017
13898,Oh! Holy,3336,Manhwa,?,Jun 2015 - Apr 2018,2559,https://myanimelist.net/manga/147464/Oh_Holy,https://cdn.myanimelist.net/r/100x140/images/manga/2/261816.jpg?s=4f5c4fcf513d644f2d0dc0b6d371017d,7.44,Jun 2015 - Apr 2018
13899,Citrus Eyes,15936,Manga,"1",Apr 2002 - Apr 2002,1053,https://myanimelist.net/manga/4370/Citrus_Eyes,https://cdn.myanimelist.net/r/100x140/images/manga/3/171475.jpg?s=bd7a71953f9618a523ab0b5ec7db4883,6.37,Apr 2002 - Apr 2002
13901,Mondlicht: Tsuki no Tsubasa,16044,Manga,"5",Apr 2007 - Mar 2010,2052,https://myanimelist.net/manga/11620/Mondlicht__Tsuki_no_Tsubasa,https://cdn.myanimelist.net/r/100x140/images/manga/1/32689.jpg?s=9c0b13d57a82c1b356b1f96112fb2f85,6.36,Apr 2007 - Mar 2010
13902,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,368,Light-Novel,?,Jan 2013 -,28054,https://myanimelist.net/manga/56743/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka,https://cdn.myanimelist.net/r/100x140/images/manga/1/186978.jpg?s=7f6cdf14a71ba1f3611ed1f02362f3f9,8.23,Jan 2013 - Dec 2023
13903,Fushigi na Shounen,3045,Manga,?,Mar 2001 -,1461,https://myanimelist.net/manga/11378/Fushigi_na_Shounen,https://cdn.myanimelist.net/r/100x140/images/manga/3/182310.jpg?s=64fef5f8ed67389928918b79682b08c6,7.47,Mar 2001 - Dec 2023
